,Status,Levels,Rooms,Materials,Engagement,labels,source
0,"no longer leaking, wet <1 day",1 floor,1-2 rooms,floors,no,CCC,water
1,"no longer leaking, wet <1 day",1 floor,1-2 rooms,floors,contractor,YGL,water
2,"no longer leaking, wet <1 day",1 floor,1-2 rooms,floors,attorney,FS,water
3,"no longer leaking, wet <1 day",1 floor,1-2 rooms,floors,public adjuster,FS,water
4,"no longer leaking, wet <1 day",1 floor,1-2 rooms,walls,no,CCC,water
5,"no longer leaking, wet <1 day",1 floor,1-2 rooms,walls,contractor,YGL,water
6,"no longer leaking, wet <1 day",1 floor,1-2 rooms,walls,attorney,FS,water
7,"no longer leaking, wet <1 day",1 floor,1-2 rooms,walls,public adjuster,FS,water
8,"no longer leaking, wet <1 day",1 floor,1-2 rooms,ceiling,no,CCC,water
9,"no longer leaking, wet <1 day",1 floor,1-2 rooms,ceiling,contractor,YGL,water
10,"no longer leaking, wet <1 day",1 floor,1-2 rooms,ceiling,attorney,FS,water
11,"no longer leaking, wet <1 day",1 floor,1-2 rooms,ceiling,public adjuster,FS,water
12,"no longer leaking, wet <1 day",1 floor,1-2 rooms,cabinets,no,CCC,water
13,"no longer leaking, wet <1 day",1 floor,1-2 rooms,cabinets,contractor,YGL,water
14,"no longer leaking, wet <1 day",1 floor,1-2 rooms,cabinets,attorney,FS,water
15,"no longer leaking, wet <1 day",1 floor,1-2 rooms,cabinets,public adjuster,FS,water
16,"no longer leaking, wet <1 day",1 floor,1-2 rooms,vinyl floor covering,no,CCC,water
17,"no longer leaking, wet <1 day",1 floor,1-2 rooms,vinyl floor covering,contractor,YGL,water
18,"no longer leaking, wet <1 day",1 floor,1-2 rooms,vinyl floor covering,attorney,FS,water
19,"no longer leaking, wet <1 day",1 floor,1-2 rooms,vinyl floor covering,public adjuster,FS,water
20,"no longer leaking, wet <1 day",1 floor,1-2 rooms,fixtures,no,CCC,water
21,"no longer leaking, wet <1 day",1 floor,1-2 rooms,fixtures,contractor,YGL,water
22,"no longer leaking, wet <1 day",1 floor,1-2 rooms,fixtures,attorney,FS,water
23,"no longer leaking, wet <1 day",1 floor,1-2 rooms,fixtures,public adjuster,FS,water
24,"no longer leaking, wet <1 day",1 floor,1-2 rooms,contents (personal belongings),no,CCC,water
25,"no longer leaking, wet <1 day",1 floor,1-2 rooms,contents (personal belongings),contractor,YGL,water
26,"no longer leaking, wet <1 day",1 floor,1-2 rooms,contents (personal belongings),attorney,FS,water
27,"no longer leaking, wet <1 day",1 floor,1-2 rooms,contents (personal belongings),public adjuster,FS,water
28,"no longer leaking, wet <1 day",1 floor,3 rooms,floors,no,CCC,water
29,"no longer leaking, wet <1 day",1 floor,3 rooms,floors,contractor,WGL,water
30,"no longer leaking, wet <1 day",1 floor,3 rooms,floors,attorney,FS,water
31,"no longer leaking, wet <1 day",1 floor,3 rooms,floors,public adjuster,FS,water
32,"no longer leaking, wet <1 day",1 floor,3 rooms,walls,no,CCC,water
33,"no longer leaking, wet <1 day",1 floor,3 rooms,walls,contractor,WGL,water
34,"no longer leaking, wet <1 day",1 floor,3 rooms,walls,attorney,FS,water
35,"no longer leaking, wet <1 day",1 floor,3 rooms,walls,public adjuster,FS,water
36,"no longer leaking, wet <1 day",1 floor,3 rooms,ceiling,no,CCC,water
37,"no longer leaking, wet <1 day",1 floor,3 rooms,ceiling,contractor,WGL,water
38,"no longer leaking, wet <1 day",1 floor,3 rooms,ceiling,attorney,FS,water
39,"no longer leaking, wet <1 day",1 floor,3 rooms,ceiling,public adjuster,FS,water
40,"no longer leaking, wet <1 day",1 floor,3 rooms,cabinets,no,CCC,water
41,"no longer leaking, wet <1 day",1 floor,3 rooms,cabinets,contractor,WGL,water
42,"no longer leaking, wet <1 day",1 floor,3 rooms,cabinets,attorney,FS,water
43,"no longer leaking, wet <1 day",1 floor,3 rooms,cabinets,public adjuster,FS,water
44,"no longer leaking, wet <1 day",1 floor,3 rooms,vinyl floor covering,no,CCC,water
45,"no longer leaking, wet <1 day",1 floor,3 rooms,vinyl floor covering,contractor,WGL,water
46,"no longer leaking, wet <1 day",1 floor,3 rooms,vinyl floor covering,attorney,FS,water
47,"no longer leaking, wet <1 day",1 floor,3 rooms,vinyl floor covering,public adjuster,FS,water
48,"no longer leaking, wet <1 day",1 floor,3 rooms,fixtures,no,CCC,water
49,"no longer leaking, wet <1 day",1 floor,3 rooms,fixtures,contractor,WGL,water
50,"no longer leaking, wet <1 day",1 floor,3 rooms,fixtures,attorney,FS,water
51,"no longer leaking, wet <1 day",1 floor,3 rooms,fixtures,public adjuster,FS,water
52,"no longer leaking, wet <1 day",1 floor,3 rooms,contents (personal belongings),no,CCC,water
53,"no longer leaking, wet <1 day",1 floor,3 rooms,contents (personal belongings),contractor,WGL,water
54,"no longer leaking, wet <1 day",1 floor,3 rooms,contents (personal belongings),attorney,FS,water
55,"no longer leaking, wet <1 day",1 floor,3 rooms,contents (personal belongings),public adjuster,FS,water
56,"no longer leaking, wet <1 day",1 floor,4 rooms,floors,no,CCC,water
57,"no longer leaking, wet <1 day",1 floor,4 rooms,floors,contractor,FS,water
58,"no longer leaking, wet <1 day",1 floor,4 rooms,floors,attorney,FS,water
59,"no longer leaking, wet <1 day",1 floor,4 rooms,floors,public adjuster,FS,water
60,"no longer leaking, wet <1 day",1 floor,4 rooms,walls,no,CCC,water
61,"no longer leaking, wet <1 day",1 floor,4 rooms,walls,contractor,FS,water
